Type,Classification,Species,Phenology,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
Plant,Plant,Lilac,Buds breaking,3/31,-,-,-,-,-,-,-,-,-,-,3/29,-,
Plant,Plant,Lilac,Blooming,5/13,5/12,-,-,-,-,-,-,-,-,-,4/6,-,
Plant,Plant,Lilac,Leafing out,4/3,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Lilly of the valley,Blooming,-,-,-,-,-,-,-,-,-,-,-,5/5,-,
Plant,Plant,Little Chickweed (Common Chickweed - Stellaria media),First observation,5/13,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Long spurred violet,First observation,4/30,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Magnolia soulangeana,First observation,4/15,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Magnolia stellata,First observation,-,-,-,-,-,-,-,-,-,-,-,-,4/20,
Animal,Bird,Magnolia warbler,First observation,-,-,-,-,-,-,-,-,-,5/14,5/12,-,-,
Animal,Bird,Mallards,First observation,3/24,3/24,3/20,-,-,-,3/30,-,-,-,-,-,-,
Plant,Plant,Marsh marigold,First observation,-,4/29,5/4,5/1,4/25,-,-,-,5/1,-,-,-,4/30,
Plant,Plant,Marsh marigold,Blooming,4/21,-,-,-,-,-,-,-,-,-,-,4/12,-,
Animal,Bird,Meadowlark,First observation,-,-,-,-,-,-,-,-,-,-,4/13,-,4/3,
Animal,Insect,Midges,First observation,-,-,-,4/17,-,-,-,4/19,-,-,-,-,-,
Animal,Bird,Mockingbird,First observation,-,-,-,-,-,-,-,-,4/27,-,-,-,-,
Animal,Bird,Mossie (Cape sparrow),First observation,-,-,-,-,-,-,4/14,-,-,-,-,-,-,
Animal,Insect,Mourning Cloak,First observation,-,-,-,-,-,-,-,-,-,-,4/15,-,-,
Animal,Rodent,Muskrat,First observation,-,5/20,5/3,-,3/17,-,-,-,-,-,3/5,-,-,
Animal,Salamander,Newt ,First observation,-,-,-,-,3/10,-,4/18,-,-,-,-,-,-,
Animal,Bird,Northern flicker,First observation,-,-,-,-,-,-,-,-,-,-,-,4/1,-,
Animal,Bird,Northern parula warbler,First observation,-,-,-,-,-,-,-,-,-,5/10,-,-,-,
Animal,Bird,Nuthatch,First observation,-,-,3/29,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Osprey,First observation,-,-,-,-,-,4/20,-,-,-,4/20,-,-,-,
Animal,Bird,Ovenbird,First observation,-,-,-,-,-,-,-,-,-,-,5/4,-,-,
Animal,Reptile,Painted turtle,First observation,-,-,-,-,-,-,4/18,-,-,-,5/8,-,-,
Animal,Reptile,Painted turtle,Laying eggs,-,-,-,-,-,-,-,5/30,-,-,-,-,-,
Animal,Reptile,Painted turtle,Egg-tagging,-,-,-,-,-,-,-,-,-,-,-,-,5/19,
Animal,Bird,Palm warbler,First observation,-,-,-,-,-,-,-,-,-,-,5/12,4/3,-,
Animal,Amphibian,Peeper,First observation,3/30,3/31,4/6,-,4/5,4/18,4/8,3/25,3/21,-,-,3/9,3/29,
Plant,Plant,Pepper root,Blooming,-,-,-,-,4/27,-,-,-,-,-,-,-,-,
Animal,Bird,Phoebe,Nesting,-,-,-,-,-,-,-,3/31,-,-,-,-,-,
Animal,Bird,Phoebe,First observation,-,-,-,-,-,4/14,-,-,-,-,-,4/1,-,
Animal,Bird,Pigeon,First observation,-,-,4/16,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Pileated woodpecker,First observation,-,-,-,-,-,-,-,4/25,-,5/21,5/20,-,-,
Plant,Plant,Pin cherry,First observation,-,-,-,-,-,-,-,-,-,-,-,-,5/13,
Animal,Bird,Pine warbler,First observation,-,-,-,-,-,-,-,-,-,4/19,4/18,-,-,
Plant,Plant,Prunella vulgaris (Self-Heal or Heal-All),Blooming,4/15,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Prunus pensylvanica,Blooming,-,-,5/15,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Pussy willow,Buds breaking,-,4/2,-,2/15,-,-,3/16,-,-,-,-,-,-,
Plant,Plant,Pussy willow,Blooming,4/11,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Ragwort (Jacobaea),Blooming,5/13,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Raspberry,Buds breaking,3/28,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Red eyed vireo,First observation,-,-,-,-,-,-,-,-,-,-,5/29,-,-,
Plant,Plant,Red maple,Blooming,4/11,-,-,-,-,4/23,4/20,-,4/18,-,-,3/30,4/17,
Plant,Plant,Red onion,First observation,5/15,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Rodent,Red squirrel,First observation,-,-,5/1,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Red tailed hawk,First observation,-,-,4/14,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Red trillium,First observation,4/18,4/21,-,-,-,-,-,4/29,-,-,-,-,-,
Animal,Bird,Red wing black bird,First observation,3/7,3/7,3/15,3/11,3/4,3/3,3/22,3/20,3/11,3/2,2/21,2/23,3/10,
Animal,Bird,Red wing black bird,Nesting,-,-,-,-,-,-,-,-,-,-,-,4/9,-,
Animal,Bird,Redhead woodpecker,First observation,-,-,-,-,-,-,-,5/3,-,-,-,-,-,
Animal,Bird,Redstart,First observation,-,-,-,-,-,-,-,-,-,-,5/29,-,-,
Animal,Bird,Ring necked duck,First observation,4/3,4/2,-,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Robins,First observation,3/7,3/11,3/17,-,-,3/3,2/26,-,-,-,-,-,1/18,
Animal,Bird,Rose breasted grosbeak,First observation,-,-,-,-,-,-,-,-,-,-,5/12,-,-,
Animal,Bird,Rough winged swallow,First observation,-,-,-,-,-,-,-,-,-,5/2,-,-,-,
Plant,Plant,Roundleaf yellow violet,First observation,-,-,4/27,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Ruby crowned kinglets,First observation,-,-,-,-,-,-,-,-,-,4/19,4/18,-,-,
Plant,Plant,Rue-anemone,First observation,-,-,5/4,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Rufous sided towhee,First observation,-,-,-,-,-,-,-,-,-,4/26,-,-,-,
Plant,Plant,Salix,Buds breaking,-,-,-,-,-,-,-,-,-,-,-,3/12,-,
Animal,Bird,Scarlet tanager,First observation,-,-,-,-,-,-,-,-,-,5/15,-,-,-,
Plant,Plant,Scilla sect. Chionodoxa,First observation,4/4,-,-,-,-,4/20,-,-,-,-,-,-,-,
Plant,Plant,Scilla siberica,Blooming,3/31,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Sedge (Carex platyphylla),First observation,4/18,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,"Shadbush, Shadblow",First observation,-,-,-,-,-,-,-,-,5/1,-,-,-,-,
Plant,Plant,"Shadbush, Shadblow",Blooming,4/21,5/4,-,-,4/16,-,-,-,-,-,-,-,4/27,
Plant,Plant,Shield fern (Fiddleheads),First observation,4/8,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Silver maple,Blooming,3/25,-,-,3/20,-,4/11,-,-,3/20,-,4/10,-,3/26,
Plant,Plant,Silver maple,Buds breaking,-,-,-,-,-,-,-,-,-,3/25,-,3/10,-,
Plant,Plant,Silver maple,Sap running,2/24,-,-,2/15,-,-,-,-,-,-,-,-,-,
Plant,Plant,Skunk cabbage,First observation,-,3/26,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Slender deutzia (Deutzia gracilis),First observation,6/3,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Fish,Snapper,First observation,-,-,-,-,-,-,-,-,-,-,-,4/9,-,
Animal,Reptile,Snapping Turtle,First observation,-,-,-,-,-,-,-,-,-,-,5/13,-,-,
Animal,Reptile,Snapping Turtle,Hatchlings,-,-,-,-,-,-,-,-,-,-,6/12,-,-,
Animal,Bird,Snipe,First observation,-,-,-,-,-,-,-,-,-,5/2,-,-,-,
Weather,Snow,Snow,First flurries,3/24,-,11/20,-,-,-,-,-,-,11/3,-,-,-,
Weather,Snow,Snow,First cover,-,-,-,-,-,-,-,-,-,11/13,-,-,-,
Animal,Bird,Snow bunting,First observation,-,-,-,-,-,-,-,-,-,-,2/5,-,-,
Plant,Plant,Snowdrops,First observation,-,-,-,-,-,-,-,-,-,-,-,3/18,-,
Plant,Plant,Snowdrops,Blooming,3/29,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Spiraea (Cultiv.),Blooming,5/13,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Spotted sandpiper,First observation,-,-,-,-,-,-,-,-,-,5/11,5/30,-,-,
Plant,Plant,Spring beauty,First observation,4/18,-,4/24,-,-,4/20,4/18,4/14,4/2,4/18,-,-,-,
Plant,Plant,Squirrel corn,First observation,4/18,-,-,-,-,-,4/18,-,-,-,-,-,-,
Animal,Bird,Starling,First observation,-,-,-,-,-,-,-,3/26,-,-,-,-,-,
Plant,Plant,Stellaria Chickweed,First observation,-,-,-,-,4/7,-,-,-,-,-,-,-,-,
Plant,Plant,Striped maple,Buds breaking,4/10,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Sugar maple,Sap running,-,-,-,-,-,-,3/3,-,-,-,-,-,-,*
Plant,Plant,Sugar maple,Last sap running,-,-,-,-,-,-,4/8,-,-,-,-,-,-,
Plant,Plant,Sugar maple,Buds breaking,-,-,-,-,-,-,4/28,-,-,-,-,-,-,*
Plant,Plant,Sugar maple,Leafing out,-,-,-,-,-,-,-,-,-,-,-,4/9,-,
Plant,Plant,Sugar maple,Blooming,-,4/29,-,-,4/21,-,-,-,-,-,-,-,-,
Animal,Bird,Swallow,First observation,-,-,4/11,4/17,-,-,-,4/19,-,-,-,-,-,
Animal,Bird,Swan,First observation,4/9,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Frog,Tadpole,First observation,-,-,-,-,-,-,-,-,-,-,-,-,3/29,
Animal,Amphibian,Toad,Calling,4/11,4/21,-,4/27,-,-,-,4/23,5/2,4/20,5/13,3/30,4/30,
Plant,Plant,Toothwort,Blooming,4/18,-,-,-,4/27,-,-,-,-,-,-,-,-,
Plant,Plant,"Trailing arbutus, mayflower",Blooming,-,-,-,4/12,-,-,-,-,-,-,-,-,-,
Animal,Bird,Tree swallow,First observation,4/13,-,-,-,-,4/15,-,-,4/27,4/11,4/25,4/1,4/4,
Plant,Plant,Trillium,First observation,-,-,-,-,-,-,5/3,-,-,-,-,-,-,
Plant,Plant,Trout lily,First observation,4/18,-,4/27,-,-,-,4/18,-,-,-,-,-,-,
Plant,Plant,Trout lily,Blooming,-,-,-,-,-,-,-,-,-,-,-,5/1,-,
Animal,Bird,Turkey vulture,First observation,-,-,-,-,-,-,3/26,-,-,-,-,3/26,-,
Animal,Reptile,Turtle,Hatching,-,-,-,-,4/9,-,-,-,-,-,-,-,-,
Animal,Reptile,Turtle,Laying eggs,6/1,-,-,6/3,-,-,-,-,-,-,-,-,-,
Animal,Reptile,Turtle,First observation,4/13,5/6,5/3,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Veery,First observation,-,-,-,-,-,-,-,-,-,5/21,-,-,-,
Plant,Plant,Veronica (Speedwell),Blooming,5/13,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Violet,First observation,-,-,-,-,-,4/27,-,4/19,-,-,-,-,-,
Plant,Plant,Violet,Blooming,4/15,-,-,-,-,-,-,-,-,4/12,-,4/14,-,
Animal,Bird,Virginia creeper,Blooming,-,-,-,-,-,-,-,-,-,-,-,4/14,-,
Animal,Bird,Warbler,First observation,4/15,-,-,4/18,-,-,-,-,-,-,-,-,-,
Animal,Bird,Warbling vireo,First observation,-,-,-,-,-,-,-,-,-,5/15,5/26,-,-,
Plant,Plant,Waterleaf,Blooming,6/3,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,White crowned sparrow,First observation,-,-,-,-,-,-,-,-,-,5/12,-,-,-,
Plant,Plant,White pine,First observation,6/3,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Cervidae,White tail deer,First observation,-,4/23,9/16,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,White throated sparrow,First observation,-,-,-,-,-,-,-,-,-,-,4/17,-,-,
Plant,Plant,White trillium,First observation,-,-,-,-,-,-,-,5/6,-,-,-,-,-,
Plant,Plant,White trillium,Blooming,-,-,-,-,4/27,-,-,-,-,-,-,-,-,
Plant,Plant,White violet,First observation,-,-,-,4/23,-,-,-,-,-,-,-,-,-,
Plant,Plant,Wild ginger,Blooming,-,-,-,-,4/27,-,-,-,-,-,-,-,-,
Plant,Plant,Wild ginger,First observation,4/18,4/21,-,-,-,-,-,-,-,-,-,-,-,
Animal,Bunny,Wild hares,First observation,-,-,5/8,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Wild strawberry,Blooming,5/7,-,-,-,-,-,-,-,-,4/22,-,5/1,-,
Plant,Plant,Willow,Buds breaking,4/8,-,-,-,-,-,-,-,3/8,-,-,-,-,
Plant,Plant,Willow,Shedding pollen,-,-,-,-,4/8,-,-,-,-,-,-,-,-,
Plant,Plant,Willow,Catkins expanding,-,-,-,-,-,-,-,4/3,-,-,-,-,-,
Animal,Bird,Willow flycatcher,First observation,-,-,-,-,-,-,-,-,-,-,5/29,-,-,
Plant,Plant,Winter aconite,First observation,-,-,-,-,-,-,-,3/21,-,-,-,-,-,
Plant,Plant,Winter aconite,Blooming,-,-,3/15,-,-,-,-,-,-,3/25,-,-,-,
Animal,Bird,Winter wren,First observation,-,-,-,-,-,-,-,-,-,-,4/16,-,-,
Plant,Plant,Witch hazel,Blooming,-,-,-,-,-,-,-,-,3/8,-,-,2/27,2/4,
Animal,Amphibian,Wood frog,First observation,-,-,-,-,-,-,-,-,3/20,4/12,-,3/9,-,
Plant,Plant,Wood strawberry,First observation,4/30,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Wood thrush,First observation,-,-,-,-,-,-,-,-,-,5/2,5/8,-,-,
Animal,Bird,Wren,Building nest,5/15,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Yellow hairy violet,First observation,4/18,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Yellow rumped warbler (Myrtle warbler),First observation,-,-,-,-,-,-,-,-,-,4/23,4/16,4/9,-,
Animal,Reptile,Yellow spotted salamander,First observation,4/13,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Yellow warbler,First observation,-,-,-,-,-,-,-,-,-,4/30,5/4,-,-,